8,1,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
isolateId,popprId,C3,,C5,,C8,,C4,,O91,,AT4,,SCAAT3,,OO9,
2013_OCP_Red1_12.8Bx_13,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_14,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_15,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_16,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_17,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_18,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_19,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_Red1_12.8Bx_20,Sc_2013_Red_1_M,121,124,122,122,149,149,258,258,274,274,291,291,394,394,416,425
2013_OCP_SA_T14_Floor_01,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_02,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_03,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_04,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_05,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_06,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_07,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_08,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_09,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T14_Floor_10,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Boot_01,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Boot_02,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Boot_05,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Floor_01,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Floor_02,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Floor_03,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Floor_04,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T53_Floor_05,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_01,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2013_OCP_SA_T54_Floor_04,Sc_2013_Tank surface swab__N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
